facility_id,facility_name,industry_sector,annual_electricity_kwh,annual_natural_gas_m3,annual_diesel_liters,annual_waste_landfill_kg,annual_waste_recyclable_kg,annual_waste_hazardous_kg,employees,annual_revenue_usd,location_state,scope1_emissions_kg_co2e,scope2_emissions_kg_co2e,waste_emissions_kg_co2e,total_emissions_kg_co2e,emissions_intensity_kg_co2e_per_employee,emissions_intensity_kg_co2e_per_revenue
1,ABC_Manufacturing_0001,automotive,2500000,150000,50000,50000,30000,5000,150,50000000,California,405000,2125000,27500,2557500,17050.0,0.05115
2,XYZ_Electronics_0002,electronics,1800000,80000,20000,30000,40000,2000,120,40000000,Texas,242000,1530000,16000,1806000,15050.0,0.04515
3,Textile_Corp_0003,textiles,1200000,60000,15000,40000,25000,3000,80,25000000,New York,162000,1020000,21500,1203500,15043.75,0.04814
4,Food_Process_0004,food_processing,800000,40000,10000,60000,15000,4000,60,15000000,Florida,122000,680000,32000,834000,13900.0,0.0556
5,Chem_Manufacturing_0005,chemicals,5000000,300000,80000,20000,10000,15000,200,80000000,Illinois,566000,4250000,27500,4843500,24217.5,0.06054
6,Metal_Works_0006,metals,3000000,200000,60000,35000,45000,8000,180,60000000,Pennsylvania,404000,2550000,23500,2977500,16541.67,0.049625
7,Plastic_Manufacturing_0007,plastics,1500000,100000,30000,25000,35000,6000,100,30000000,Ohio,202000,1275000,18500,1503000,15030.0,0.0501
8,Pharma_Corp_0008,pharmaceuticals,2200000,120000,35000,15000,20000,12000,140,45000000,Michigan,272000,1870000,25500,2167500,15482.14,0.048167
9,Machinery_Inc_0009,machinery,2800000,180000,55000,40000,50000,7000,160,55000000,Georgia,374000,2380000,23500,2777500,17359.38,0.0505
10,Automotive_Parts_0010,automotive,3200000,220000,70000,45000,60000,9000,200,70000000,North Carolina,474000,2720000,28500,3222500,16112.5,0.046036
11,Electronics_Assembly_0011,electronics,1600000,90000,25000,35000,40000,3000,110,35000000,California,242000,1360000,18500,1620500,14731.82,0.0463
12,Textile_Weaving_0012,textiles,900000,50000,12000,50000,20000,4000,70,20000000,Texas,142000,765000,24000,931000,13285.71,0.04655
13,Beverage_Processing_0013,food_processing,600000,30000,8000,70000,10000,5000,50,12000000,New York,92000,510000,35000,637000,12740.0,0.053083
14,Chemical_Plant_0014,chemicals,4500000,280000,75000,15000,8000,18000,220,75000000,Florida,516000,3825000,28500,4363500,19834.09,0.05818
15,Steel_Manufacturing_0015,metals,3500000,240000,65000,30000,40000,10000,190,65000000,Illinois,434000,2975000,23500,3432500,18065.79,0.052808
16,Plastic_Molding_0016,plastics,1200000,70000,20000,30000,30000,5000,90,25000000,Pennsylvania,162000,1020000,17500,1197500,13305.56,0.0479
17,Drug_Manufacturing_0017,pharmaceuticals,1800000,100000,28000,20000,25000,11000,130,40000000,Ohio,202000,1530000,24500,1777500,13673.08,0.044438
18,Equipment_Manufacturing_0018,machinery,2400000,160000,45000,35000,45000,8000,170,50000000,Michigan,304000,2040000,23500,2377500,13985.29,0.04755
19,Car_Assembly_0019,automotive,3800000,260000,80000,50000,70000,12000,250,85000000,Georgia,474000,3230000,31000,3735000,14940.0,0.043941
20,Circuit_Board_0020,electronics,1400000,80000,22000,40000,35000,4000,100,32000000,North Carolina,182000,1190000,20000,1390000,13900.0,0.043438 
